Species,Mass(g),BMR (kJ/h),Timeb,Foodc,Climated,Habitate,Torpor?f,Migrationg,Islands?h,Mountains?i,Flightless?j,Reference
Aulacorhynchus sulcatus,131.7,2.44,N,F/I,TR,F,N,N,N,N,N,McNab 2001
Chenkcaerulescens,2930,27.9,D?,G,P,T,N,Y,N,N,N,Boisemena et al. 1992
Accipiter cooperi,452,7.66,N,V,T,F,N,Y/N,N,N,N,Wasser 1986
Accipiter nisus,135,3.42,N,V,T,F,N,Y,N,N,N,Kendeigh et al. 1977
Accipiter striatus,83,2.52,N,V,T,F,N,Y,N,N,N,Wasser 1986
Aegolius acadicus,118.1,2.25,D,V,T,F,N,Y,N,N,N,Ligon 1969
Aegolius funereus,130,4.07,D,V,T,F,N,N,N,Y,N,Hohtola et al. 1994
Agapornis fischeri,56.7,1.9,N,S,T,F/G,N,N,N,N,N,Gavrilov & Dol’nik 1985
Agapornis roseicollis,48.1,1.67,N,S,T,F,N,N,N,N,N,Kendeigh et al. 1977
Aix sponsa,448,8.09,N,AV,T,W,N,Y,N,N,N,Kendeigh et al. 1977
Alcedo atthis,34.3,1.36,N,V,T/TR,W,Y,N,N,N,N,Kendeigh et al. 1977
Alectoris chukar,475,7.06,D?,S,T,G,N,N,N,N,N,Marder & Bernstein 1983
Alectoris graeca,633,9.12,N,S,T,G,N,N,N,Y,N,Kendeigh et al. 1977
Anas acuta,721,15.71,N,AV,T,W,N,Y,N,N,N,Prinzinger & Hänssler 1980
Anas aucklandica,373.1,6.75,D/N,AI,T,W,N,N,S,N,Y,McNab 2003
Anas castanea,483.3,6.86,D,O,T,W,N,N,N,N,N,McNab 2003
Anas chlorotis,528.8,8.35,D/N,AI,T,W,N,N,L,N,N,McNab 2003
Anas clypeata,554,13.96,N,AI,T,W,N,Y,N,N,N,Prinzinger & Hänssler 1980
Anas gracilis,393.7,11.98,D/N,AV,T,W,N,N,N,N,N,McNab 2003
Anas nesiotis,371.1,5.94,D/N,AI,T,W,N,N,S,N,Y,McNab 2003
Anas penelope,723,10.15,N,AV,T,W,N,Y,N,N,N,Kendeigh et al. 1977
Anas platyrhynchos,1020,14.64,N,O,T,W,N,Y,N,N,N,Kendeigh et al. 1977
Anas querquedula,289,8.04,N,O,T,W,N,Y,N,N,N,Prinzinger & Hänssler1980
Anas rhynchotis,508,9.47,D,AI,T,W,N,N,N,N,N,McNab 2003
Anas strepera,791,22.33,N,AV,T,W,N,Y,N,N,N,Prinzinger & Hänssler 1980
Anser anser,3250,39.01,N,G,T,W,N,Y,N,N,N,Kendeigh et al. 1977
Anser canagicus,2609,32.25,N,G,P,T,N,Y,N,N,N,Gavrilov & Dolnik 1985
Aquila rapax,2398,16.27,N,V,TR,G,N,N,N,N,N,Wasser 1986
Arenaria interpres,90,3.32,N,AI,P,T/B,N,Y,N,N,N,Kersten & Piersma 1987
